audience_score,amount,rate
"11%",2,2%
"12%",2,2%
"13%",1,1%
"14%",1,1%
"15%",1,1%
"16%",3,3%
"17%",5,5%
"18%",4,4%
"19%",3,3%
"20%",2,2%
"21%",2,2%
"22%",4,4%
"23%",2,2%
"24%",3,3%
"25%",6,6%
"27%",3,3%
"29%",6,6%
"30%",2,2%
"31%",1,1%
"32%",4,4%
"33%",4,4%
"35%",1,1%
"36%",4,4%
"37%",1,1%
"38%",6,6%
"39%",1,1%
"40%",3,3%
"41%",1,1%
"42%",3,3%
"43%",1,1%
"44%",2,2%
"46%",1,1%
"47%",1,1%
"48%",2,2%
"50%",1,1%
"51%",1,1%
"52%",1,1%
"53%",2,2%
"59%",1,1%
"62%",1,1%
"65%",2,2%
"67%",1,1%
"69%",1,1%
"76%",1,1%
