publicationName,publications,rate
3AW,2,0.03%
3BlackChicks Review,9,0.15%
3C Films (Youtube),1,0.02%
411mania,1,0.02%
615 Film,1,0.02%
7M Pictures,18,0.31%
AALBC.com,4,0.07%
AARP Movies for Grownups,1,0.02%
ABC News Radio,1,0.02%
About.com,10,0.17%
AboutFilm.com,3,0.05%
Adam Does Movies (YouTube),1,0.02%
"Advocate (Baton Rouge, LA)",5,0.09%
Aisle Seat,22,0.37%
Akron Beacon Journal,2,0.03%
AllMovie,2,0.03%
Alternate Ending,4,0.07%
Alternative Lens,1,0.02%
American Profile,3,0.05%
amNewYork,4,0.07%
Antagony & Ecstasy,10,0.17%
Apollo Guide,21,0.36%
Arizona Daily Star,10,0.17%
Arizona Republic,16,0.27%
Arkansas Democrat-Gazette,13,0.22%
Assignment X,2,0.03%
Associated Press,24,0.41%
At the Movies (Australia),1,0.02%
Atlanta Journal-Constitution,14,0.24%
Atlantic City Weekly,3,0.05%
Austin American-Statesman,2,0.03%
Austin Burke/Flick Fan Nation,1,0.02%
Austin Chronicle,68,1.16%
AV Club,67,1.14%
AwardsCircuit.com,1,0.02%
AXS.com,1,0.02%
Baltimore City Paper,1,0.02%
Baltimore Sun,18,0.31%
Bangkok Post,1,0.02%
Bangor Daily News (Maine),10,0.17%
Baret News,1,0.02%
Battle Royale With Cheese,2,0.03%
BBC.com,25,0.43%
BDK Reviews,1,0.02%
Beach Reporter (Southern California),3,0.05%
BeatBoxBetty.com,4,0.07%
Behind The Lens,1,0.02%
Beliefnet,6,0.10%
BET.com,2,0.03%
Big Hollywood,5,0.09%
Big Picture Big Sound,2,0.03%
Birmingham Mail,2,0.03%
Birmingham Post,7,0.12%
Birth.Movies.Death.,1,0.02%
Black Girl Nerds,1,0.02%
BlackFilm.com,3,0.05%
Bloody Disgusting,2,0.03%
Bloomberg News,1,0.02%
Blu-ray.com,24,0.41%
Blunt Review,2,0.03%
Boston Globe,49,0.83%
Boston Herald,15,0.26%
Boston Phoenix,46,0.78%
Boulder Weekly,8,0.14%
Bowling Green Daily News,13,0.22%
Box Office Prophets,1,0.02%
Boxoffice Magazine,56,0.95%
BrandonFibbs.com,1,0.02%
BrianOrndorf.com,19,0.32%
Bright Lights Film Journal,1,0.02%
Broad Street Review,1,0.02%
Bronsonfive,2,0.03%
Brooklyn Magazine,1,0.02%
Broomfield Enterprise,1,0.02%
Bryant Frazer's Deep Focus,1,0.02%
Buffalo News,1,0.02%
Bullz-Eye.com,12,0.20%
Butaca Ancha,2,0.03%
Cairo360,6,0.10%
Can Magazine,4,0.07%
Canada.com,8,0.14%
Casey's Movie Mania,1,0.02%
Caution Spoilers,1,0.02%
CBR,1,0.02%
Celluloid Dreams,1,0.02%
Channel 10 Australia,1,0.02%
Channel24 (South Africa),2,0.03%
Charlotte Observer,10,0.17%
Chesapeake Family Magazine,1,0.02%
Chicago Daily Herald,2,0.03%
Chicago Reader,46,0.78%
Chicago Sun-Times,36,0.61%
Chicago Tribune,39,0.66%
ChrisStuckmann.com,3,0.05%
Christian Science Monitor,24,0.41%
Christianity Today,4,0.07%
ChristyLemire.com,2,0.03%
CHUD,1,0.02%
Cincinnati Enquirer,3,0.05%
Cine Premiere,2,0.03%
Cinefantastique,3,0.05%
Cinegarage,3,0.05%
Cinema Crazed,32,0.55%
Cinema em Cena,12,0.20%
Cinema Movil,1,0.02%
Cinema Sight,4,0.07%
Cinema Signals,5,0.09%
Cinema Siren,1,0.02%
CinemaBlend,27,0.46%
CinemaDope,3,0.05%
Cinemalogue,10,0.17%
Cinemanía (Spain),2,0.03%
cinemaobsession.com,1,0.02%
Cinemaphile.org,7,0.12%
CinemaSense.Com,1,0.02%
Cinematical,16,0.27%
Cinematter,7,0.12%
Cinemixtape,4,0.07%
Cinencuentro,1,0.02%
Cinenganos,3,0.05%
CinePassion,1,0.02%
Cinerina,7,0.12%
Cineuropa,1,0.02%
CineVue,3,0.05%
"City Pages, Minneapolis/St. Paul",1,0.02%
Citysearch,13,0.22%
Clarín,4,0.07%
CNN.com,6,0.10%
CNNRadio,2,0.03%
Cody Leach (YouTube),1,0.02%
COED.com,1,0.02%
ColeSmithey.com,14,0.24%
Collider,2,0.03%
Columbus Alive,1,0.02%
Combustible Celluloid,17,0.29%
Comicsverse,2,0.03%
ComingSoon.net,12,0.20%
"Commercial Appeal (Memphis, TN)",10,0.17%
Common Sense Media,62,1.06%
Compuserve,3,0.05%
Concrete Playground,2,0.03%
Consequence,5,0.09%
Contactmusic.com,1,0.02%
Contra Costa Times,2,0.03%
Copley News Service,1,0.02%
Countingdown.com,2,0.03%
"Courier-Journal (Louisville, KY)",3,0.05%
CraveOnline,6,0.10%
Creative Loafing,11,0.19%
Critic Doctor,2,0.03%
Critic's Notebook,2,0.03%
Crooked Marquee,1,0.02%
Cultural Conversation,2,0.03%
Culture Mix,2,0.03%
culturevulture.net,5,0.09%
Daily Dead,1,0.02%
Daily Express (UK),6,0.10%
Daily Mail (UK),9,0.15%
Daily Mirror (UK),8,0.14%
Daily Record (UK),1,0.02%
Daily Star (UK),1,0.02%
Daily Telegraph (Australia),2,0.03%
Daily Telegraph (UK),13,0.22%
Dallas Morning News,24,0.41%
Dallas Observer,1,0.02%
Dare Daniel,6,0.10%
Dark Horizons,18,0.31%
DCist,1,0.02%
Decent Films,2,0.03%
Decider,4,0.07%
Deep Focus Review,7,0.12%
Den of Geek,1,0.02%
Dennis Schwartz Movie Reviews,7,0.12%
Denton Record-Chronicle,2,0.03%
Denver Post,7,0.12%
Denver Rocky Mountain News,6,0.10%
Des Moines Register,1,0.02%
Deseret News (Salt Lake City),33,0.56%
Detroit Free Press,27,0.46%
Detroit News,27,0.46%
"Diario La Estrella (Fort Worth, TX)",1,0.02%
Digital Spy,4,0.07%
Double Toasted,4,0.07%
Draftkings Nation,1,0.02%
Draxblog Movie Reviews,2,0.03%
Dread Central,10,0.17%
DVD Clinic,1,0.02%
DVDJournal.com,3,0.05%
DVDTalk.com,4,0.07%
E! Online,41,0.70%
East Bay Express,2,0.03%
Ebert & Roeper,12,0.20%
Ebert Presents At The Movies,1,0.02%
Eclipse Magazine,6,0.10%
eFilmCritic.com,69,1.18%
EJ Moreno,1,0.02%
El Nuevo Herald (Miami),3,0.05%
El Pais (Spain),6,0.10%
El Universal,1,0.02%
Elements of Madness,1,0.02%
EmanuelLevy.Com,30,0.51%
Empire Magazine,47,0.80%
En Filme,3,0.05%
EnPrimeur.ca,1,0.02%
Entertainment Insiders,4,0.07%
Entertainment Spectrum,3,0.05%
Entertainment Today,2,0.03%
Entertainment Voice,4,0.07%
Entertainment Weekly,71,1.21%
EntertainmentTell,1,0.02%
Epoch Times,2,0.03%
EricDSnider.com,41,0.70%
EscribiendoCine,3,0.05%
Espinof,6,0.10%
ESplatter,1,0.02%
Esquire Magazine,1,0.02%
Eugene Weekly (OR),1,0.02%
EURWeb,1,0.02%
Examiner.com,6,0.10%
Eye for Film,5,0.09%
eye WEEKLY,14,0.24%
"F5 (Wichita, KS)",8,0.14%
Fan The Fire,2,0.03%
FanboyNation.com,1,0.02%
Fantastica Daily,10,0.17%
Fat Guys at the Movies,6,0.10%
Fayetteville Free Weekly,1,0.02%
FEARnet,3,0.05%
FF2 Media,1,0.02%
Film Blather,10,0.17%
Film Companion,1,0.02%
Film Freak Central,17,0.29%
Film Frenzy,2,0.03%
Film Inquiry,4,0.07%
Film Journal International,37,0.63%
Film Mafia,1,0.02%
