worst_rank,title,year,rotten_url,critic_score,audience_score
1,Ballistic: Ecks vs. Sever,2002,https://www.rottentomatoes.com/m/ballistic_ecks_vs_sever,0%,20%
2,One Missed Call,2008,https://www.rottentomatoes.com/m/one_missed_call,0%,29%
3,Left Behind,2014,https://www.rottentomatoes.com/m/left_behind_2014,0%,19%
4,A Thousand Words,2012,https://www.rottentomatoes.com/m/a_thousand_words,0%,46%
5,Gotti,2018,https://www.rottentomatoes.com/m/gotti_2018,0%,44%
6,Pinocchio,2002,https://www.rottentomatoes.com/m/pinocchio,0%,33%
7,SuperBabies: Baby Geniuses 2,2004,https://www.rottentomatoes.com/m/super_babies_baby_geniuses_2,0%,25%
8,Gold Diggers,2003,https://www.rottentomatoes.com/m/gold_diggers,0%,21%
9,The Last Days of American Crime,2020,https://www.rottentomatoes.com/m/the_last_days_of_american_crime,0%,22%
10,Jaws the Revenge,1987,https://www.rottentomatoes.com/m/jaws_the_revenge,2%,15%
11,The Ridiculous 6,2015,https://www.rottentomatoes.com/m/the_ridiculous_6,0%,36%
12,Dark Crimes,2016,https://www.rottentomatoes.com/m/dark_crimes,0%,30%
13,Stratton,2017,https://www.rottentomatoes.com/m/stratton,0%,22%
14,London Fields,2018,https://www.rottentomatoes.com/m/london_fields,0%,32%
15,The Nutcracker,2010,https://www.rottentomatoes.com/m/the_nutcracker_2010,0%,27%
16,Return to the Blue Lagoon,1991,https://www.rottentomatoes.com/m/return_to_the_blue_lagoon,0%,41%
17,Wagons East!,1994,https://www.rottentomatoes.com/m/wagons_east,0%,33%
18,Problem Child,1990,https://www.rottentomatoes.com/m/problem_child,0%,42%
19,Cabin Fever,2016,https://www.rottentomatoes.com/m/cabin_fever_2016,0%,12%
20,3 Strikes,2000,https://www.rottentomatoes.com/m/3_strikes,0%,67%
21,The Disappointments Room,2016,https://www.rottentomatoes.com/m/the_disappointments_room,0%,17%
22,Redline,2007,https://www.rottentomatoes.com/m/redline,0%,47%
23,Staying Alive,1983,https://www.rottentomatoes.com/m/staying_alive,0%,40%
24,Look Who's Talking Now,1993,https://www.rottentomatoes.com/m/look_whos_talking_now,0%,29%
25,Highlander II: The Quickening,1991,https://www.rottentomatoes.com/m/highlander_2_the_quickening,0%,23%
26,Homecoming,2009,https://www.rottentomatoes.com/m/1213377-homecoming,0%,33%
27,Bolero,1984,https://www.rottentomatoes.com/m/bolero_1984,0%,18%
28,Precious Cargo,2016,https://www.rottentomatoes.com/m/precious_cargo_2016,0%,23%
29,Max Steel,2016,https://www.rottentomatoes.com/m/max_steel,0%,48%
30,Killing Me Softly,2002,https://www.rottentomatoes.com/m/killing_me_softly,0%,40%
31,Merci Docteur Rey,2002,https://www.rottentomatoes.com/m/merci_docteur_rey,0%,65%
32,Transylmania,2009,https://www.rottentomatoes.com/m/transylmania,0%,22%
33,Freelance,2023,https://www.rottentomatoes.com/m/freelance_2023,10%,76%
34,Stolen,2009,https://www.rottentomatoes.com/m/10012207-stolen,0%,39%
35,Dark Tide,2012,https://www.rottentomatoes.com/m/dark_tide_2011,0%,16%
36,Folks!,1992,https://www.rottentomatoes.com/m/folks,0%,53%
37,Simon Sez,1999,https://www.rottentomatoes.com/m/simon_sez,0%,16%
38,Alone in the Dark,2005,https://www.rottentomatoes.com/m/alone_in_the_dark,1%,11%
39,The Master of Disguise,2002,https://www.rottentomatoes.com/m/master_of_disguise,1%,36%
40,Daddy Day Camp,2007,https://www.rottentomatoes.com/m/daddy_day_camp,1%,38%
41,Disaster Movie,2008,https://www.rottentomatoes.com/m/disaster_movie,1%,21%
42,Twisted,2004,https://www.rottentomatoes.com/m/twisted,2%,31%
43,Epic Movie,2007,https://www.rottentomatoes.com/m/epic_movie,2%,29%
44,Crossover,2006,https://www.rottentomatoes.com/m/crossover,2%,59%
45,The In Crowd,2000,https://www.rottentomatoes.com/m/1098652-in_crowd,2%,38%
46,One for the Money,2012,https://www.rottentomatoes.com/m/one_for_the_money,2%,42%
47,Texas Rangers,2001,https://www.rottentomatoes.com/m/1111103-texas_rangers,2%,29%
48,Meet the Spartans,2008,https://www.rottentomatoes.com/m/meet_the_spartans,2%,25%
49,King's Ransom,2005,https://www.rottentomatoes.com/m/kings_ransom,2%,32%
50,Strange Wilderness,2008,https://www.rottentomatoes.com/m/strange_wilderness,2%,35%
51,Baby Geniuses,1999,https://www.rottentomatoes.com/m/baby_geniuses,2%,25%
52,Kickin' It Old Skool,2007,https://www.rottentomatoes.com/m/kickin_it_old_school,2%,42%
53,Nina,2016,https://www.rottentomatoes.com/m/nina_2016,2%,25%
54,The Haunting of Molly Hartley,2008,https://www.rottentomatoes.com/m/haunting_of_molly_hartley,2%,18%
55,Battlefield Earth,2000,https://www.rottentomatoes.com/m/battlefield_earth,3%,13%
56,Rollerball,2002,https://www.rottentomatoes.com/m/rollerball_2002,3%,14%
57,Jack and Jill,2011,https://www.rottentomatoes.com/m/jack_and_jill_2011,3%,36%
58,Bless the Child,2000,https://www.rottentomatoes.com/m/bless_the_child,4%,43%
59,Getaway,2013,https://www.rottentomatoes.com/m/getaway,3%,36%
60,FeardotCom,2002,https://www.rottentomatoes.com/m/feardotcom_2002,3%,18%
61,Half Past Dead,2002,https://www.rottentomatoes.com/m/half_past_dead,3%,37%
62,The Roommate,2011,https://www.rottentomatoes.com/m/the_roommate,3%,27%
63,Deuces Wild,2002,https://www.rottentomatoes.com/m/deuces_wild,3%,51%
64,The Mod Squad,1999,https://www.rottentomatoes.com/m/mod_squad,3%,17%
65,The Apparition,2012,https://www.rottentomatoes.com/m/the_apparition,3%,24%
66,House of the Dead,2003,https://www.rottentomatoes.com/m/1126175-house_of_the_dead,3%,11%
67,Down to You,2000,https://www.rottentomatoes.com/m/down_to_you,3%,48%
68,Winnie-the-Pooh: Blood and Honey,2023,https://www.rottentomatoes.com/m/winnie_the_pooh_blood_and_honey,3%,50%
69,Bucky Larson: Born to Be a Star,2011,https://www.rottentomatoes.com/m/bucky_larson_born_to_be_a_star,3%,25%
70,Deal,2008,https://www.rottentomatoes.com/m/1193335-deal,3%,38%
71,The Darkness,2016,https://www.rottentomatoes.com/m/the_darkness,3%,19%
72,Passion Play,2010,https://www.rottentomatoes.com/m/passion_play,3%,17%
73,Getting Even With Dad,1994,https://www.rottentomatoes.com/m/getting_even_with_dad,3%,25%
74,McHale's Navy,1997,https://www.rottentomatoes.com/m/1076097-mchales_navy,3%,38%
75,Arsenal,2017,https://www.rottentomatoes.com/m/arsenal_2017,3%,18%
76,Twelve,2010,https://www.rottentomatoes.com/m/twelve-2008,3%,32%
77,The Toy,1982,https://www.rottentomatoes.com/m/toy,3%,53%
78,Shadow Conspiracy,1997,https://www.rottentomatoes.com/m/shadow_conspiracy,7%,17%
79,Because I Said So,2007,https://www.rottentomatoes.com/m/because_i_said_so,4%,65%
80,Godsend,2004,https://www.rottentomatoes.com/m/godsend,4%,20%
81,The Whole Ten Yards,2004,https://www.rottentomatoes.com/m/whole_ten_yards,4%,40%
